,index,Longitude,Latitude,Values
0,167578,-0.18009525797004775,51.501401689567906,19.924257127796686
1,167579,-0.1800976554303006,51.50138726906932,17.774922081690157
2,167580,-0.1801018998642288,51.50140247002572,17.18228313348082
3,167581,-0.18010302611624024,51.501387900153524,15.557740448047163
4,167665,-0.18013343281821878,51.50146780884303,24.27396935368629
5,167667,-0.18012586044139003,51.5013950158483,19.90114937963677
6,167668,-0.18013125985197279,51.50138528692255,22.14492706929466
7,167669,-0.18014481344040165,51.50139502036556,20.498855733651542
8,167698,-0.18018793180354917,51.501456333142826,24.051511282241627
9,167699,-0.18017817635352187,51.50145023114998,34.38661784097543
10,167700,-0.18018356459125015,51.50144157969811,22.29181001679489
11,167925,-0.18002357304969846,51.50145734667986,25.45834531148612
12,167926,-0.1800669443910533,51.501455494101265,23.002680637375875
13,167927,-0.18009032539476683,51.50145202039227,20.015611155927928
14,167928,-0.18008375414358663,51.50146433474416,23.135959298318078
15,167981,-0.18018921744472352,51.50144197356027,22.356009569816074
16,167982,-0.18018763865880694,51.50143838164822,24.524557505482996
17,167992,-0.18015534682860576,51.50142768113536,24.92891691986641
18,167993,-0.18015705235709273,51.501442571515504,31.717728669844952
19,167994,-0.1801428110303346,51.501438824582294,30.920529463109915
20,167995,-0.18007047690102182,51.50139657554688,19.246906013100475
21,167996,-0.18009238276791018,51.50138695095431,14.244999164984758
22,167997,-0.18008873730099614,51.50140129615696,15.558824592780343
23,167998,-0.18019981328711593,51.50139727716704,33.411921638982925
24,167999,-0.18021437665227,51.50139182969993,42.52811587786356
25,168000,-0.1801958950275579,51.50139444989844,35.173163953487595
26,168001,-0.18020018416921962,51.501433031335175,37.85756964042608
27,168002,-0.180185115075736,51.50142109778938,25.313956625062808
28,168012,-0.18009443672632355,51.50140550697938,16.483889249089707
29,168041,-0.18013634929744718,51.50144619242787,25.275343654838323
30,168042,-0.18015130545074362,51.50145804217856,23.527982392406834
31,168043,-0.1801254261494046,51.501455810040994,22.946865591986366
32,168223,-0.18009325255332212,51.501462858837215,21.682434474215516
33,168224,-0.18008536526129656,51.50146920330115,21.949411437982313
34,168287,-0.18003056946148555,51.501439393837224,21.20074632508277
35,168288,-0.18003370230336882,51.50145115914046,22.908474612919616
36,168289,-0.18002092006652962,51.50143648437917,21.417469003143374
37,168700,-0.18009629326001658,51.5013784225333,15.539902375351838
38,168701,-0.18007500832814527,51.501373101979596,13.152616662849764
39,168702,-0.18009611013473623,51.5013639224345,18.90834726863073
40,168703,-0.1801720536190614,51.501363416882,42.26960803262229
41,168704,-0.18017028240682656,51.50137316253012,35.43214769279312
42,168705,-0.18015713852382137,51.501368017967216,27.260131007604954
43,168791,-0.1801332841634153,51.5013775303789,32.11972116233108
44,168792,-0.180118731416187,51.50137053743857,31.27075285101221
45,168793,-0.18013416640726315,51.501367525165215,34.30302609046934
46,168887,-0.18016689377105044,51.50138351192084,41.773000984829636
47,168888,-0.18015541682785927,51.50137327627566,30.481785744337984
48,168939,-0.18014901141016373,51.50137024324229,26.825932278366967
